City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Provideniya,RU,2021-09-27 01:19:36,64.3833,-173.3,41.11,56,0,8.95,clear sky
78,Tiksi,RU,2021-09-27 01:19:36,71.6872,128.8694,33.62,96,100,7.02,light rain
79,Pepel,SL,2021-09-27 01:19:37,8.5817,-13.0628,76.68,90,100,3.06,light rain
80,Constitucion,CL,2021-09-27 01:18:31,-35.3333,-72.4167,49.96,79,22,10.74,few clouds
81,Oranjestad,AW,2021-09-27 01:19:37,12.524,-70.027,84.15,83,20,7.0,few clouds
82,Linhares,BR,2021-09-27 01:19:38,-19.3911,-40.0722,69.44,84,46,1.34,scattered clouds
83,Kirakira,SB,2021-09-27 01:19:38,-10.4544,161.9205,84.9,71,100,11.63,overcast clouds
84,Clyde River,CA,2021-09-27 01:19:38,70.4692,-68.5914,25.97,87,26,7.87,scattered clouds
85,Matara,LK,2021-09-27 01:19:39,5.9485,80.5353,76.73,89,100,18.19,overcast clouds
86,Ancud,CL,2021-09-27 01:16:16,-41.8697,-73.8203,38.73,81,89,5.46,overcast clouds
87,Jhalu,IN,2021-09-27 01:19:39,29.35,78.25,75.58,81,0,3.62,clear sky
88,Puerto Ayora,EC,2021-09-27 01:19:39,-0.7393,-90.3518,69.28,90,99,8.37,overcast clouds
89,Guerrero Negro,MX,2021-09-27 01:19:40,27.9769,-114.0611,70.95,71,0,18.39,clear sky
90,New Norfolk,AU,2021-09-27 01:19:40,-42.7826,147.0587,56.91,46,40,4.09,scattered clouds
91,Ahipara,NZ,2021-09-27 01:19:41,-35.1667,173.1667,57.04,62,100,11.05,light rain
92,Eyl,SO,2021-09-27 01:19:41,7.9803,49.8164,80.55,67,89,16.96,overcast clouds
93,Damietta,EG,2021-09-27 01:19:41,31.4165,31.8133,74.98,68,5,7.83,clear sky
94,Kavieng,PG,2021-09-27 01:19:42,-2.5744,150.7967,83.86,72,39,8.99,scattered clouds
95,Molteno,ZA,2021-09-27 01:19:42,-31.3968,26.3625,61.38,16,0,6.17,clear sky
96,Anzio,IT,2021-09-27 01:19:43,41.4853,12.6179,74.52,99,17,8.68,few clouds
97,Arraial Do Cabo,BR,2021-09-27 01:17:49,-22.9661,-42.0278,71.26,85,60,22.21,broken clouds
98,Borovoy,RU,2021-09-27 01:19:43,55.4333,86.0833,33.08,100,90,6.71,fog
99,Lompoc,US,2021-09-27 01:16:28,34.6391,-120.4579,65.57,80,1,8.05,clear sky
100,Port Elizabeth,ZA,2021-09-27 01:19:44,-33.918,25.5701,62.89,94,0,11.5,clear sky
101,Ballina,AU,2021-09-27 01:19:44,-28.8667,153.5667,63.79,55,75,10.09,broken clouds
102,Hithadhoo,MV,2021-09-27 01:19:45,-0.6,73.0833,82.2,74,100,17.56,overcast clouds
103,Buenos Aires,AR,2021-09-27 01:15:03,-34.6132,-58.3772,69.03,76,0,8.05,clear sky
104,Lima,PE,2021-09-27 01:18:08,-12.0432,-77.0282,59.25,86,90,6.91,overcast clouds
105,Marinette,US,2021-09-27 01:19:45,45.1,-87.6307,62.31,88,1,0.0,clear sky
106,Hamilton,US,2021-09-27 01:15:30,39.1834,-84.5333,66.58,65,1,0.0,clear sky
107,Shingu,JP,2021-09-27 01:19:46,33.7333,135.9833,74.39,85,99,9.8,overcast clouds
108,Upernavik,GL,2021-09-27 01:18:08,72.7868,-56.1549,23.77,64,0,3.83,clear sky
109,Andreapol,RU,2021-09-27 01:19:47,56.6513,32.2664,45.81,95,100,7.05,overcast clouds
110,Thompson,CA,2021-09-27 01:19:47,55.7435,-97.8558,51.96,82,20,2.3,few clouds
111,Butaritari,KI,2021-09-27 01:19:48,3.0707,172.7902,83.97,72,99,15.88,overcast clouds
112,Poya,NC,2021-09-27 01:19:48,-21.35,165.15,77.65,48,3,8.41,clear sky
113,Kodiak,US,2021-09-27 01:19:48,57.79,-152.4072,47.53,55,0,11.1,clear sky
