City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
148,San Policarpo,PH,84.13,overcast clouds,12.1791,125.5072,Manong Aklan Resort
149,Asandh,IN,75.54,clear sky,29.5167,76.6,Star net computer centre
151,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
152,Victoria,HK,87.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
160,Guangzhou,CN,85.95,clear sky,23.1167,113.25,Guangzhou Hotel
161,Hasaki,JP,75.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
163,Buraydah,SA,73.85,overcast clouds,26.326,43.975,فندق راحة السلام
166,Manggar,ID,84.15,broken clouds,-2.8833,108.2667,Guest Hotel
167,Puerto Escondido,MX,81.84,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
169,Lumberton,US,70.21,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
170,Awbari,LY,72.9,clear sky,26.5921,12.7805,فندق أوباري
173,Padang,ID,78.26,overcast clouds,-0.9492,100.3543,Mercure Padang
175,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
177,Florianopolis,BR,70.43,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
184,Kayes,ML,79.3,overcast clouds,14.0,-11.0,
186,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
187,Catia La Mar,VE,84.4,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
188,Gadwal,IN,73.71,moderate rain,16.2333,77.8,MS RESIDENCY
190,Kieta,PG,85.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
192,Abu Zabad,SD,75.45,few clouds,12.35,29.25,حامد محمد نور
194,Uvalde,US,81.52,clear sky,29.3669,-99.767,
195,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
196,Port Lavaca,US,76.21,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
